Hello from the pygame community. https://www.pygame.org/contribute.html
After 58000 games - Mr.Q: 0.1%, minimax4: 99.9%, Draws: 0.0% , epsilon 0.6875943742067129
After 59000 games - Mr.Q: 0.3%, minimax4: 99.7%, Draws: 0.0% , epsilon 0.6825215406756123
After 60000 games - Mr.Q: 0.1%, minimax4: 99.8%, Draws: 0.1% , epsilon 0.677431258574426
After 61000 games - Mr.Q: 0.4%, minimax4: 99.5%, Draws: 0.1% , epsilon 0.6723049824163567
After 62000 games - Mr.Q: 0.9%, minimax4: 99.1%, Draws: 0.0% , epsilon 0.6672275062965296
After 63000 games - Mr.Q: 0.7%, minimax4: 99.2%, Draws: 0.1% , epsilon 0.6621810929693064
After 64000 games - Mr.Q: 0.5%, minimax4: 99.5%, Draws: 0.0% , epsilon 0.6570775637624183
After 65000 games - Mr.Q: 0.7%, minimax4: 99.2%, Draws: 0.1% , epsilon 0.6520616190208
After 66000 games - Mr.Q: 0.7%, minimax4: 99.3%, Draws: 0.0% , epsilon 0.6471001418956175
After 67000 games - Mr.Q: 0.5%, minimax4: 99.4%, Draws: 0.1% , epsilon 0.6422104524643987
After 68000 games - Mr.Q: 1.1%, minimax4: 98.9%, Draws: 0.0% , epsilon 0.6373207453498139
After 69000 games - Mr.Q: 1.2%, minimax4: 98.8%, Draws: 0.0% , epsilon 0.6324682678311899
After 70000 games - Mr.Q: 0.9%, minimax4: 99.1%, Draws: 0.0% , epsilon 0.6276276308273095

Its learning . This took 10 hours
