[Running] python -u "c:\Users\lukas\OneDrive\Documents\MAIN AI PROJECT\Connect4-Python\new\main.py"
pygame 2.5.2 (SDL 2.28.3, Python 3.12.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
After 59000 games - Mr.Q: 61.6%, Random: 36.9%, Draws: 1.5% , epsilon 0.5423019626692993
After 60000 games - Mr.Q: 57.4%, Random: 40.9%, Draws: 1.7% , epsilon 0.5368753625147615
After 61000 games - Mr.Q: 57.8%, Random: 40.9%, Draws: 1.3% , epsilon 0.5315466492507132
After 62000 games - Mr.Q: 58.5%, Random: 39.9%, Draws: 1.6% , epsilon 0.5262745096124353
After 63000 games - Mr.Q: 58.9%, Random: 38.4%, Draws: 2.7% , epsilon 0.5209931807802314
After 64000 games - Mr.Q: 59.7%, Random: 38.3%, Draws: 2.0% , epsilon 0.5156941967499022
After 65000 games - Mr.Q: 60.7%, Random: 38.0%, Draws: 1.3% , epsilon 0.510571120281348
After 66000 games - Mr.Q: 61.2%, Random: 37.4%, Draws: 1.4% , epsilon 0.5056490937031267
After 67000 games - Mr.Q: 60.8%, Random: 37.7%, Draws: 1.5% , epsilon 0.5006868887108309
After 68000 games - Mr.Q: 60.4%, Random: 38.0%, Draws: 1.6% , epsilon 0.4957664397078396
After 69000 games - Mr.Q: 61.4%, Random: 37.1%, Draws: 1.5% , epsilon 0.49087176528049625
After 70000 games - Mr.Q: 61.6%, Random: 37.8%, Draws: 0.6% , epsilon 0.486004517046962
After 71000 games - Mr.Q: 63.1%, Random: 35.6%, Draws: 1.3% , epsilon 0.48127503898238255
After 72000 games - Mr.Q: 58.6%, Random: 39.0%, Draws: 2.4% , epsilon 0.4765720452405889
After 73000 games - Mr.Q: 62.6%, Random: 36.0%, Draws: 1.4% , epsilon 0.4720108174191112
After 74000 games - Mr.Q: 61.4%, Random: 37.4%, Draws: 1.2% , epsilon 0.4674609887582568
After 75000 games - Mr.Q: 62.3%, Random: 35.6%, Draws: 2.1% , epsilon 0.4629105754471656
After 76000 games - Mr.Q: 61.6%, Random: 36.5%, Draws: 1.9% , epsilon 0.45843333770535155
After 77000 games - Mr.Q: 63.9%, Random: 35.1%, Draws: 1.0% , epsilon 0.45407658998232886
After 78000 games - Mr.Q: 61.1%, Random: 37.1%, Draws: 1.8% , epsilon 0.4496659075374387
After 79000 games - Mr.Q: 62.9%, Random: 35.1%, Draws: 2.0% , epsilon 0.4453092009450717
After 80000 games - Mr.Q: 63.5%, Random: 34.8%, Draws: 1.7% , epsilon 0.44102601720342977
After 81000 games - Mr.Q: 63.2%, Random: 35.0%, Draws: 1.8% , epsilon 0.43679189323248097
After 82000 games - Mr.Q: 64.9%, Random: 33.7%, Draws: 1.4% , epsilon 0.4326040433030204
After 83000 games - Mr.Q: 64.2%, Random: 33.7%, Draws: 2.1% , epsilon 0.4285651872053911
After 84000 games - Mr.Q: 63.3%, Random: 35.4%, Draws: 1.3% , epsilon 0.4245606419723776
After 85000 games - Mr.Q: 63.1%, Random: 34.6%, Draws: 2.3% , epsilon 0.4204803910138783
After 86000 games - Mr.Q: 62.2%, Random: 35.5%, Draws: 2.3% , epsilon 0.4164743358044759
After 87000 games - Mr.Q: 63.8%, Random: 33.8%, Draws: 2.4% , epsilon 0.41240250902286096
After 88000 games - Mr.Q: 64.1%, Random: 34.7%, Draws: 1.2% , epsilon 0.40855634301795185
After 89000 games - Mr.Q: 63.4%, Random: 34.8%, Draws: 1.8% , epsilon 0.40457689871391234
After 90000 games - Mr.Q: 64.0%, Random: 34.0%, Draws: 2.0% , epsilon 0.40076604245474123
After 91000 games - Mr.Q: 63.4%, Random: 35.1%, Draws: 1.5% , epsilon 0.3969331255341187
After 92000 games - Mr.Q: 64.0%, Random: 34.1%, Draws: 1.9% , epsilon 0.39317775492069906
After 93000 games - Mr.Q: 64.7%, Random: 34.0%, Draws: 1.3% , epsilon 0.3894999774862757
After 94000 games - Mr.Q: 65.3%, Random: 33.2%, Draws: 1.5% , epsilon 0.3858766669888495
After 95000 games - Mr.Q: 64.4%, Random: 34.5%, Draws: 1.1% , epsilon 0.3822855330700365
After 96000 games - Mr.Q: 66.6%, Random: 31.7%, Draws: 1.7% , epsilon 0.37870812644069346
After 97000 games - Mr.Q: 66.4%, Random: 31.8%, Draws: 1.8% , epsilon 0.37520321610738444
After 98000 games - Mr.Q: 67.9%, Random: 30.5%, Draws: 1.6% , epsilon 0.37180360981312605
After 99000 games - Mr.Q: 66.3%, Random: 32.3%, Draws: 1.4% , epsilon 0.36828267412077426
After 100000 games - Mr.Q: 65.8%, Random: 32.7%, Draws: 1.5% , epsilon 0.3649271610585502
After 101000 games - Mr.Q: 67.9%, Random: 30.8%, Draws: 1.3% , epsilon 0.3615910113916683
After 102000 games - Mr.Q: 66.5%, Random: 33.1%, Draws: 0.4% , epsilon 0.35833050749524153
After 103000 games - Mr.Q: 67.5%, Random: 30.5%, Draws: 2.0% , epsilon 0.3550592799171619
After 104000 games - Mr.Q: 65.6%, Random: 32.3%, Draws: 2.1% , epsilon 0.3516554132173492
After 105000 games - Mr.Q: 68.2%, Random: 30.1%, Draws: 1.7% , epsilon 0.34845139517531143
After 106000 games - Mr.Q: 69.1%, Random: 29.5%, Draws: 1.4% , epsilon 0.34521684201149216
After 107000 games - Mr.Q: 64.1%, Random: 34.4%, Draws: 1.5% , epsilon 0.34197127504439684
After 108000 games - Mr.Q: 67.1%, Random: 31.2%, Draws: 1.7% , epsilon 0.3388412599029096
After 109000 games - Mr.Q: 67.7%, Random: 31.2%, Draws: 1.1% , epsilon 0.335835257069634
After 110000 games - Mr.Q: 65.0%, Random: 33.3%, Draws: 1.7% , epsilon 0.33277338367266324
After 111000 games - Mr.Q: 69.5%, Random: 28.8%, Draws: 1.7% , epsilon 0.32974041517335967
After 112000 games - Mr.Q: 69.2%, Random: 29.7%, Draws: 1.1% , epsilon 0.3268275689659335
After 113000 games - Mr.Q: 70.3%, Random: 28.6%, Draws: 1.1% , epsilon 0.3239427217219723
After 114000 games - Mr.Q: 67.3%, Random: 31.4%, Draws: 1.3% , epsilon 0.32100115164222404
After 115000 games - Mr.Q: 68.8%, Random: 29.6%, Draws: 1.6% , epsilon 0.31809901627653697
After 116000 games - Mr.Q: 69.9%, Random: 28.7%, Draws: 1.4% , epsilon 0.3152533816779335
After 117000 games - Mr.Q: 70.5%, Random: 28.1%, Draws: 1.4% , epsilon 0.3124869465775756
After 118000 games - Mr.Q: 69.6%, Random: 29.6%, Draws: 0.8% , epsilon 0.30965961955778265
After 119000 games - Mr.Q: 65.1%, Random: 33.2%, Draws: 1.7% , epsilon 0.30686953452296994
After 120000 games - Mr.Q: 68.7%, Random: 30.1%, Draws: 1.2% , epsilon 0.30413347994429507
After 121000 games - Mr.Q: 70.6%, Random: 28.3%, Draws: 1.1% , epsilon 0.3013992142799547
After 122000 games - Mr.Q: 69.5%, Random: 29.9%, Draws: 0.6% , epsilon 0.2987471832855712
After 123000 games - Mr.Q: 70.3%, Random: 28.2%, Draws: 1.5% , epsilon 0.29614869332311
After 124000 games - Mr.Q: 69.7%, Random: 28.5%, Draws: 1.8% , epsilon 0.2934929639289464
After 125000 games - Mr.Q: 70.6%, Random: 28.0%, Draws: 1.4% , epsilon 0.2909363927375708
After 126000 games - Mr.Q: 70.6%, Random: 27.9%, Draws: 1.5% , epsilon 0.2883969002434678
After 127000 games - Mr.Q: 71.6%, Random: 27.1%, Draws: 1.3% , epsilon 0.2858146868518099
After 128000 games - Mr.Q: 70.4%, Random: 28.4%, Draws: 1.2% , epsilon 0.2832966688305727
After 129000 games - Mr.Q: 71.7%, Random: 27.8%, Draws: 0.5% , epsilon 0.2808783462307571
After 130000 games - Mr.Q: 71.6%, Random: 27.3%, Draws: 1.1% , epsilon 0.27843082370212713
After 131000 games - Mr.Q: 70.8%, Random: 27.8%, Draws: 1.4% , epsilon 0.2760195330969037
After 132000 games - Mr.Q: 68.5%, Random: 29.6%, Draws: 1.9% , epsilon 0.2735700274205277
After 133000 games - Mr.Q: 71.1%, Random: 28.1%, Draws: 0.8% , epsilon 0.27124721203291013
After 134000 games - Mr.Q: 69.4%, Random: 29.1%, Draws: 1.5% , epsilon 0.26893389940832974
After 135000 games - Mr.Q: 69.4%, Random: 29.9%, Draws: 0.7% , epsilon 0.2665723310604356
After 136000 games - Mr.Q: 69.6%, Random: 29.4%, Draws: 1.0% , epsilon 0.26427827330734294
After 137000 games - Mr.Q: 74.5%, Random: 25.0%, Draws: 0.5% , epsilon 0.2620713013709338
After 138000 games - Mr.Q: 70.0%, Random: 28.9%, Draws: 1.1% , epsilon 0.25977882735618324
After 139000 games - Mr.Q: 72.4%, Random: 26.0%, Draws: 1.6% , epsilon 0.2575414300746635
After 140000 games - Mr.Q: 71.9%, Random: 27.2%, Draws: 0.9% , epsilon 0.25531360072019516
After 141000 games - Mr.Q: 73.0%, Random: 26.6%, Draws: 0.4% , epsilon 0.25309441272606065
After 142000 games - Mr.Q: 73.3%, Random: 24.8%, Draws: 1.9% , epsilon 0.2509692916767662
After 143000 games - Mr.Q: 71.4%, Random: 27.7%, Draws: 0.9% , epsilon 0.24883414332360765
After 144000 games - Mr.Q: 71.5%, Random: 27.2%, Draws: 1.3% , epsilon 0.2467006304714161
After 145000 games - Mr.Q: 73.3%, Random: 25.6%, Draws: 1.1% , epsilon 0.24463751270196044
After 146000 games - Mr.Q: 71.7%, Random: 26.8%, Draws: 1.5% , epsilon 0.24259164845521572
After 147000 games - Mr.Q: 74.3%, Random: 24.4%, Draws: 1.3% , epsilon 0.2405655396504471
After 148000 games - Mr.Q: 75.2%, Random: 23.4%, Draws: 1.4% , epsilon 0.23854776488900317
After 149000 games - Mr.Q: 72.9%, Random: 25.9%, Draws: 1.2% , epsilon 0.23654549519794493
After 150000 games - Mr.Q: 73.3%, Random: 24.9%, Draws: 1.8% , epsilon 0.23459287243689686
After 151000 games - Mr.Q: 71.1%, Random: 27.9%, Draws: 1.0% , epsilon 0.2325989090238036
After 152000 games - Mr.Q: 71.6%, Random: 27.1%, Draws: 1.3% , epsilon 0.23061981806498436
After 153000 games - Mr.Q: 73.6%, Random: 25.7%, Draws: 0.7% , epsilon 0.2286955267241117
After 154000 games - Mr.Q: 75.4%, Random: 22.8%, Draws: 1.8% , epsilon 0.22683832457380323
After 155000 games - Mr.Q: 73.8%, Random: 25.4%, Draws: 0.8% , epsilon 0.2249523344798983
After 156000 games - Mr.Q: 73.9%, Random: 24.7%, Draws: 1.4% , epsilon 0.22307421723727855
After 157000 games - Mr.Q: 73.5%, Random: 25.6%, Draws: 0.9% , epsilon 0.22125381456612114
After 158000 games - Mr.Q: 72.7%, Random: 26.6%, Draws: 0.7% , epsilon 0.2193945090692987
After 159000 games - Mr.Q: 73.5%, Random: 24.7%, Draws: 1.8% , epsilon 0.21764200118038826
After 160000 games - Mr.Q: 74.2%, Random: 24.0%, Draws: 1.8% , epsilon 0.2158102419893212
After 161000 games - Mr.Q: 73.0%, Random: 25.5%, Draws: 1.5% , epsilon 0.21405832148249954
After 162000 games - Mr.Q: 71.5%, Random: 27.5%, Draws: 1.0% , epsilon 0.21227328060315429
After 163000 games - Mr.Q: 74.6%, Random: 24.2%, Draws: 1.2% , epsilon 0.2104957577667521
After 164000 games - Mr.Q: 73.8%, Random: 24.4%, Draws: 1.8% , epsilon 0.20879574881870894
After 165000 games - Mr.Q: 75.5%, Random: 23.5%, Draws: 1.0% , epsilon 0.20708461785040205
After 166000 games - Mr.Q: 74.4%, Random: 24.1%, Draws: 1.5% , epsilon 0.20538011618759122
After 167000 games - Mr.Q: 76.0%, Random: 23.2%, Draws: 0.8% , epsilon 0.20371632928518818
After 168000 games - Mr.Q: 76.9%, Random: 22.1%, Draws: 1.0% , epsilon 0.20207935754553996
After 169000 games - Mr.Q: 75.0%, Random: 23.8%, Draws: 1.2% , epsilon 0.2004609521413847
After 170000 games - Mr.Q: 75.6%, Random: 23.0%, Draws: 1.4% , epsilon 0.19884755409510332
After 171000 games - Mr.Q: 75.8%, Random: 23.6%, Draws: 0.6% , epsilon 0.19728817308007707
After 172000 games - Mr.Q: 74.9%, Random: 23.9%, Draws: 1.2% , epsilon 0.1956780023823065
After 173000 games - Mr.Q: 74.9%, Random: 24.7%, Draws: 0.4% , epsilon 0.1940735981788575
After 174000 games - Mr.Q: 73.6%, Random: 25.5%, Draws: 0.9% , epsilon 0.19248793088743402
After 175000 games - Mr.Q: 73.7%, Random: 25.8%, Draws: 0.5% , epsilon 0.19092533798021646
After 176000 games - Mr.Q: 77.1%, Random: 21.9%, Draws: 1.0% , epsilon 0.18942903086410917
After 177000 games - Mr.Q: 76.9%, Random: 22.6%, Draws: 0.5% , epsilon 0.18788131174566378
After 178000 games - Mr.Q: 75.4%, Random: 23.5%, Draws: 1.1% , epsilon 0.18639898165283936
After 179000 games - Mr.Q: 77.0%, Random: 22.2%, Draws: 0.8% , epsilon 0.1849346343965105
After 180000 games - Mr.Q: 78.6%, Random: 20.8%, Draws: 0.6% , epsilon 0.18347500232346098
After 181000 games - Mr.Q: 76.5%, Random: 22.5%, Draws: 1.0% , epsilon 0.18199722269650148
After 182000 games - Mr.Q: 76.2%, Random: 22.3%, Draws: 1.5% , epsilon 0.18054596932480008
After 183000 games - Mr.Q: 78.1%, Random: 21.3%, Draws: 0.6% , epsilon 0.1791532203262619
After 184000 games - Mr.Q: 77.0%, Random: 22.1%, Draws: 0.9% , epsilon 0.17774170754038848
After 185000 games - Mr.Q: 78.4%, Random: 20.7%, Draws: 0.9% , epsilon 0.1763090482601985
After 186000 games - Mr.Q: 79.1%, Random: 20.1%, Draws: 0.8% , epsilon 0.17493813677273584
After 187000 games - Mr.Q: 78.1%, Random: 21.7%, Draws: 0.2% , epsilon 0.17360097237233182
After 188000 games - Mr.Q: 78.8%, Random: 20.3%, Draws: 0.9% , epsilon 0.17227351195564797
After 189000 games - Mr.Q: 78.4%, Random: 20.2%, Draws: 1.4% , epsilon 0.1709059483615309
After 190000 games - Mr.Q: 79.4%, Random: 19.0%, Draws: 1.6% , epsilon 0.16956721411648099
After 191000 games - Mr.Q: 77.3%, Random: 22.0%, Draws: 0.7% , epsilon 0.1682411535175929
After 192000 games - Mr.Q: 76.6%, Random: 22.2%, Draws: 1.2% , epsilon 0.16693297488298867
After 193000 games - Mr.Q: 76.9%, Random: 22.2%, Draws: 0.9% , epsilon 0.16561608682378215
After 194000 games - Mr.Q: 78.4%, Random: 20.6%, Draws: 1.0% , epsilon 0.1643368649992949
After 195000 games - Mr.Q: 76.8%, Random: 22.8%, Draws: 0.4% , epsilon 0.1630750251910442
After 196000 games - Mr.Q: 76.9%, Random: 22.2%, Draws: 0.9% , epsilon 0.1618374389813443
After 197000 games - Mr.Q: 75.8%, Random: 23.3%, Draws: 0.9% , epsilon 0.16055673422471975
After 198000 games - Mr.Q: 78.8%, Random: 20.7%, Draws: 0.5% , epsilon 0.159320095941852
After 199000 games - Mr.Q: 73.5%, Random: 25.2%, Draws: 1.3% , epsilon 0.15806721541158253
After 200000 games - Mr.Q: 76.8%, Random: 22.0%, Draws: 1.2% , epsilon 0.15682967637925924
After 201000 games - Mr.Q: 76.8%, Random: 21.9%, Draws: 1.3% , epsilon 0.1556086729155852
