ello from the pygame community. https://www.pygame.org/contribute.html
After 61000 games - Mr.Q: 0.9%, Random: 99.1%, Draws: 0.0% , epsilon 0.6881336598380939
After 62000 games - Mr.Q: 0.4%, Random: 99.6%, Draws: 0.0% , epsilon 0.6832645285955189
After 63000 games - Mr.Q: 0.4%, Random: 99.6%, Draws: 0.0% , epsilon 0.6784732715217053
After 64000 games - Mr.Q: 0.8%, Random: 99.2%, Draws: 0.0% , epsilon 0.6736522858655978
After 65000 games - Mr.Q: 0.5%, Random: 99.5%, Draws: 0.0% , epsilon 0.6689344531246316
After 66000 games - Mr.Q: 0.7%, Random: 99.3%, Draws: 0.0% , epsilon 0.6641128396821441
After 67000 games - Mr.Q: 0.5%, Random: 99.5%, Draws: 0.0% , epsilon 0.6594209297777613
After 68000 games - Mr.Q: 0.9%, Random: 99.1%, Draws: 0.0% , epsilon 0.6547052060234141
After 69000 games - Mr.Q: 0.9%, Random: 99.0%, Draws: 0.1% , epsilon 0.6499803057360852
After 70000 games - Mr.Q: 0.9%, Random: 99.1%, Draws: 0.0% , epsilon 0.6452269142030489
After 71000 games - Mr.Q: 1.2%, Random: 98.8%, Draws: 0.0% , epsilon 0.64050892535691
After 72000 games - Mr.Q: 1.3%, Random: 98.7%, Draws: 0.0% , epsilon 0.6358165336025147
After 73000 games - Mr.Q: 1.7%, Random: 98.3%, Draws: 0.0% , epsilon 0.6311162322560215
After 74000 games - Mr.Q: 1.1%, Random: 98.9%, Draws: 0.0% , epsilon 0.6264281262616709
After 75000 games - Mr.Q: 2.3%, Random: 97.6%, Draws: 0.1% , epsilon 0.6217860368693191
After 76000 games - Mr.Q: 1.8%, Random: 98.2%, Draws: 0.0% , epsilon 0.6171456376617191
After 77000 games - Mr.Q: 1.3%, Random: 98.6%, Draws: 0.1% , epsilon 0.6124179864608974
After 78000 games - Mr.Q: 2.0%, Random: 97.9%, Draws: 0.1% , epsilon 0.6078037376979115
After 79000 games - Mr.Q: 1.6%, Random: 98.4%, Draws: 0.0% , epsilon 0.6032067616240756
After 80000 games - Mr.Q: 1.6%, Random: 98.4%, Draws: 0.0% , epsilon 0.5985649391922571
After 81000 games - Mr.Q: 1.9%, Random: 98.1%, Draws: 0.0% , epsilon 0.5940081373646882
After 82000 games - Mr.Q: 1.7%, Random: 98.3%, Draws: 0.0% , epsilon 0.589394662614418
After 83000 games - Mr.Q: 2.2%, Random: 97.8%, Draws: 0.0% , epsilon 0.5848778434376295
After 84000 games - Mr.Q: 1.8%, Random: 98.2%, Draws: 0.0% , epsilon 0.5803532714959423
After 85000 games - Mr.Q: 1.4%, Random: 98.6%, Draws: 0.0% , epsilon 0.5758625495828953
After 86000 games - Mr.Q: 3.9%, Random: 96.0%, Draws: 0.1% , epsilon 0.5712477474465281
After 87000 games - Mr.Q: 2.1%, Random: 97.9%, Draws: 0.0% , epsilon 0.5666699270495962

-- epsilon is still very high, but it seems like something is happening. This took like 4 hours to run or something
