Hello from the pygame community. https://www.pygame.org/contribute.html
After 61000 games - Mr.Q: 1.7%, Random: 98.0%, Draws: 0.3% , epsilon 0.6141173509332162
After 62000 games - Mr.Q: 1.2%, Random: 98.7%, Draws: 0.1% , epsilon 0.6083345823063177
After 63000 games - Mr.Q: 1.7%, Random: 98.2%, Draws: 0.1% , epsilon 0.6026984723439001
After 64000 games - Mr.Q: 1.8%, Random: 98.0%, Draws: 0.2% , epsilon 0.5969802441873713
After 65000 games - Mr.Q: 1.3%, Random: 98.6%, Draws: 0.1% , epsilon 0.5913541143908997
After 66000 games - Mr.Q: 2.3%, Random: 97.6%, Draws: 0.1% , epsilon 0.5856632768041734
After 67000 games - Mr.Q: 2.5%, Random: 97.2%, Draws: 0.3% , epsilon 0.5801171156573319
After 68000 games - Mr.Q: 2.5%, Random: 97.4%, Draws: 0.1% , epsilon 0.5744798380075314
After 69000 games - Mr.Q: 1.1%, Random: 98.9%, Draws: 0.0% , epsilon 0.5689041673144845
After 70000 games - Mr.Q: 3.2%, Random: 96.5%, Draws: 0.3% , epsilon 0.5632924777908849
After 71000 games - Mr.Q: 2.2%, Random: 97.8%, Draws: 0.0% , epsilon 0.5577539900093992
After 72000 games - Mr.Q: 3.0%, Random: 96.7%, Draws: 0.3% , epsilon 0.5522970204728037
After 73000 games - Mr.Q: 3.0%, Random: 96.8%, Draws: 0.2% , epsilon 0.546826177201722
After 74000 games - Mr.Q: 2.4%, Random: 97.1%, Draws: 0.5% , epsilon 0.5413451020813514
After 75000 games - Mr.Q: 2.8%, Random: 96.9%, Draws: 0.3% , epsilon 0.5359704168619793
After 76000 games - Mr.Q: 3.6%, Random: 96.2%, Draws: 0.2% , epsilon 0.5306199087006674
After 77000 games - Mr.Q: 3.8%, Random: 96.0%, Draws: 0.2% , epsilon 0.5252954977289217
After 78000 games - Mr.Q: 4.1%, Random: 95.7%, Draws: 0.2% , epsilon 0.5200193133890697
After 79000 games - Mr.Q: 3.0%, Random: 96.8%, Draws: 0.2% , epsilon 0.5147585454492707
After 80000 games - Mr.Q: 4.0%, Random: 95.5%, Draws: 0.5% , epsilon 0.5095245020167778
After 81000 games - Mr.Q: 4.0%, Random: 95.6%, Draws: 0.4% , epsilon 0.5042947591310951
After 82000 games - Mr.Q: 5.0%, Random: 94.3%, Draws: 0.7% , epsilon 0.49911420210570306
After 83000 games - Mr.Q: 4.8%, Random: 94.9%, Draws: 0.3% , epsilon 0.4939448771750956
After 84000 games - Mr.Q: 4.8%, Random: 94.7%, Draws: 0.5% , epsilon 0.48879487407801075
After 85000 games - Mr.Q: 5.0%, Random: 94.7%, Draws: 0.3% , epsilon 0.4837343613445345
After 86000 games - Mr.Q: 5.5%, Random: 93.9%, Draws: 0.6% , epsilon 0.47872863393864623
After 87000 games - Mr.Q: 5.8%, Random: 94.2%, Draws: 0.0% , epsilon 0.4736813817866611
After 88000 games - Mr.Q: 6.0%, Random: 93.9%, Draws: 0.1% , epsilon 0.4687393701930812
After 89000 games - Mr.Q: 5.9%, Random: 93.9%, Draws: 0.2% , epsilon 0.46386608232054904
After 90000 games - Mr.Q: 5.9%, Random: 93.9%, Draws: 0.2% , epsilon 0.4590792667951925
After 91000 games - Mr.Q: 7.5%, Random: 92.0%, Draws: 0.5% , epsilon 0.45423145658020514
After 92000 games - Mr.Q: 6.6%, Random: 92.9%, Draws: 0.5% , epsilon 0.4494689968980545
After 93000 games - Mr.Q: 5.4%, Random: 93.9%, Draws: 0.7% , epsilon 0.44469554246489107
After 94000 games - Mr.Q: 6.9%, Random: 92.7%, Draws: 0.4% , epsilon 0.43997102322428006
After 95000 games - Mr.Q: 6.7%, Random: 93.1%, Draws: 0.2% , epsilon 0.43531149840685524
After 96000 games - Mr.Q: 7.0%, Random: 92.7%, Draws: 0.3% , epsilon 0.4306604057084593
After 97000 games - Mr.Q: 8.1%, Random: 91.3%, Draws: 0.6% , epsilon 0.42604196565673863
After 98000 games - Mr.Q: 8.5%, Random: 90.7%, Draws: 0.8% , epsilon 0.4214452378446195
After 99000 games - Mr.Q: 8.6%, Random: 91.0%, Draws: 0.4% , epsilon 0.41692520513758624
After 100000 games - Mr.Q: 8.8%, Random: 90.7%, Draws: 0.5% , epsilon 0.41236415735372506
After 101000 games - Mr.Q: 9.5%, Random: 89.9%, Draws: 0.6% , epsilon 0.40789216197354566
After 102000 games - Mr.Q: 9.1%, Random: 90.3%, Draws: 0.6% , epsilon 0.4034940837041345
After 103000 games - Mr.Q: 11.6%, Random: 87.6%, Draws: 0.8% , epsilon 0.3990628086392636
After 104000 games - Mr.Q: 10.9%, Random: 88.7%, Draws: 0.4% , epsilon 0.39470151228559885
After 105000 games - Mr.Q: 13.7%, Random: 85.9%, Draws: 0.4% , epsilon 0.3903527465264956
After 106000 games - Mr.Q: 12.2%, Random: 87.1%, Draws: 0.7% , epsilon 0.38591680026917874
After 107000 games - Mr.Q: 12.6%, Random: 86.9%, Draws: 0.5% , epsilon 0.38169154071784395
After 108000 games - Mr.Q: 12.6%, Random: 86.8%, Draws: 0.6% , epsilon 0.3774317628815662
After 109000 games - Mr.Q: 13.8%, Random: 85.3%, Draws: 0.9% , epsilon 0.37322363072407344
After 110000 games - Mr.Q: 13.9%, Random: 85.5%, Draws: 0.6% , epsilon 0.3690317857288006
After 111000 games - Mr.Q: 11.8%, Random: 87.2%, Draws: 1.0% , epsilon 0.36494358315850367
After 112000 games - Mr.Q: 14.0%, Random: 85.3%, Draws: 0.7% , epsilon 0.36093207019446266
After 113000 games - Mr.Q: 15.0%, Random: 84.6%, Draws: 0.4% , epsilon 0.35691717919911237
After 114000 games - Mr.Q: 15.8%, Random: 83.5%, Draws: 0.7% , epsilon 0.35287848344486994
After 115000 games - Mr.Q: 15.2%, Random: 83.6%, Draws: 1.2% , epsilon 0.34890083885264667
After 116000 games - Mr.Q: 15.8%, Random: 83.5%, Draws: 0.7% , epsilon 0.3450094289196078
After 117000 games - Mr.Q: 15.0%, Random: 83.7%, Draws: 1.3% , epsilon 0.3410607933811931
After 118000 games - Mr.Q: 18.9%, Random: 79.8%, Draws: 1.3% , epsilon 0.33716746488383337
After 119000 games - Mr.Q: 18.1%, Random: 80.8%, Draws: 1.1% , epsilon 0.33333557978544515
After 120000 games - Mr.Q: 17.3%, Random: 81.8%, Draws: 0.9% , epsilon 0.3295890989768565
After 121000 games - Mr.Q: 18.2%, Random: 80.2%, Draws: 1.6% , epsilon 0.3258378021944014
After 122000 games - Mr.Q: 18.2%, Random: 81.1%, Draws: 0.7% , epsilon 0.32211148506146314
After 123000 games - Mr.Q: 18.3%, Random: 80.6%, Draws: 1.1% , epsilon 0.3184118615042064
After 124000 games - Mr.Q: 18.4%, Random: 80.3%, Draws: 1.3% , epsilon 0.31481265034004235
After 125000 games - Mr.Q: 23.1%, Random: 75.1%, Draws: 1.8% , epsilon 0.31123731606453187
After 126000 games - Mr.Q: 22.4%, Random: 75.9%, Draws: 1.7% , epsilon 0.30761152040719336
After 127000 games - Mr.Q: 20.7%, Random: 78.3%, Draws: 1.0% , epsilon 0.30407752450406417
After 128000 games - Mr.Q: 19.6%, Random: 79.1%, Draws: 1.3% , epsilon 0.3006150906990603
After 129000 games - Mr.Q: 22.2%, Random: 76.8%, Draws: 1.0% , epsilon 0.29713918701436237
After 130000 games - Mr.Q: 24.8%, Random: 73.4%, Draws: 1.8% , epsilon 0.2936996558259152
After 131000 games - Mr.Q: 23.8%, Random: 74.7%, Draws: 1.5% , epsilon 0.29033158332432124
After 132000 games - Mr.Q: 24.8%, Random: 73.6%, Draws: 1.6% , epsilon 0.2870319848054784
After 133000 games - Mr.Q: 25.7%, Random: 72.4%, Draws: 1.9% , epsilon 0.28374888779223056
After 134000 games - Mr.Q: 26.4%, Random: 72.0%, Draws: 1.6% , epsilon 0.2804825866407595
After 135000 games - Mr.Q: 25.4%, Random: 73.2%, Draws: 1.4% , epsilon 0.2772128541020866
After 136000 games - Mr.Q: 25.0%, Random: 73.0%, Draws: 2.0% , epsilon 0.27400973409437995
After 137000 games - Mr.Q: 27.5%, Random: 70.3%, Draws: 2.2% , epsilon 0.27075805217018073
After 138000 games - Mr.Q: 28.0%, Random: 69.9%, Draws: 2.1% , epsilon 0.2676097118022825
After 139000 games - Mr.Q: 27.5%, Random: 70.7%, Draws: 1.8% , epsilon 0.2645022119414329
After 140000 games - Mr.Q: 30.2%, Random: 68.4%, Draws: 1.4% , epsilon 0.2614480515640627
After 141000 games - Mr.Q: 28.9%, Random: 69.4%, Draws: 1.7% , epsilon 0.2583994393786312
After 142000 games - Mr.Q: 30.4%, Random: 67.7%, Draws: 1.9% , epsilon 0.25542366465421523
After 143000 games - Mr.Q: 30.3%, Random: 67.2%, Draws: 2.5% , epsilon 0.25242081374863573
After 144000 games - Mr.Q: 31.3%, Random: 66.4%, Draws: 2.3% , epsilon 0.24944104250329507
After 145000 games - Mr.Q: 32.0%, Random: 66.5%, Draws: 1.5% , epsilon 0.24654131324947146
After 146000 games - Mr.Q: 31.8%, Random: 66.3%, Draws: 1.9% , epsilon 0.24364775931621727
After 147000 games - Mr.Q: 31.5%, Random: 67.4%, Draws: 1.1% , epsilon 0.24079322244178478
After 148000 games - Mr.Q: 34.8%, Random: 64.1%, Draws: 1.1% , epsilon 0.2380102074553981
After 149000 games - Mr.Q: 34.2%, Random: 63.6%, Draws: 2.2% , epsilon 0.23528923756230374
After 150000 games - Mr.Q: 35.3%, Random: 62.8%, Draws: 1.9% , epsilon 0.2326391521361163
After 151000 games - Mr.Q: 34.4%, Random: 64.2%, Draws: 1.4% , epsilon 0.22993313377927485
After 152000 games - Mr.Q: 35.8%, Random: 62.6%, Draws: 1.6% , epsilon 0.22720360140709894
After 153000 games - Mr.Q: 35.6%, Random: 63.0%, Draws: 1.4% , epsilon 0.2245581137207734
After 154000 games - Mr.Q: 39.5%, Random: 57.4%, Draws: 3.1% , epsilon 0.22197738922532936

-- epsilon is still very high but mr Q is performing really good!
